Time_h,OD_600nm,Biomass_gL,Trehalose_gL,Proline_gL,pH,DO_percent,Temperature_C,Osmolality_mOsm,Viscosity_cP,Strain,Condition
32.5,4.211,1.263,0.339,0.206,6.65,69.1,40.3,697.0,1.74,E. coli W3110,Osmotic stress
33.0,4.213,1.264,0.345,0.214,6.59,67.6,40.0,716.0,1.69,E. coli W3110,Osmotic stress
33.5,4.186,1.256,0.335,0.2,6.66,75.3,40.9,708.0,1.65,E. coli W3110,Osmotic stress
34.0,4.212,1.263,0.341,0.216,6.54,67.3,40.4,686.0,1.76,E. coli W3110,Osmotic stress
34.5,4.205,1.262,0.331,0.214,6.56,68.3,39.1,705.0,1.65,E. coli W3110,Osmotic stress
35.0,4.189,1.257,0.333,0.207,6.57,70.7,40.5,662.0,1.78,E. coli W3110,Osmotic stress
35.5,4.18,1.254,0.332,0.202,6.57,66.5,40.2,711.0,1.68,E. coli W3110,Osmotic stress
36.0,4.161,1.248,0.325,0.201,6.55,69.1,39.9,704.0,1.77,E. coli W3110,Osmotic stress
36.5,4.207,1.262,0.335,0.215,6.66,70.9,40.2,713.0,1.73,E. coli W3110,Osmotic stress
37.0,4.169,1.251,0.318,0.218,6.59,69.2,40.9,720.0,1.69,E. coli W3110,Osmotic stress
37.5,4.202,1.261,0.331,0.205,6.62,69.7,41.6,707.0,1.67,E. coli W3110,Osmotic stress
38.0,4.195,1.258,0.333,0.213,6.57,68.4,41.1,703.0,1.68,E. coli W3110,Osmotic stress
38.5,4.214,1.264,0.335,0.194,6.51,65.4,40.7,683.0,1.72,E. coli W3110,Osmotic stress
39.0,4.194,1.258,0.333,0.205,6.61,71.0,41.3,685.0,1.7,E. coli W3110,Osmotic stress
39.5,4.193,1.258,0.335,0.209,6.5,75.3,40.9,723.0,1.67,E. coli W3110,Osmotic stress
40.0,4.215,1.264,0.342,0.203,6.6,70.0,40.8,729.0,1.69,E. coli W3110,Osmotic stress
40.5,4.207,1.262,0.345,0.203,6.53,70.6,40.6,696.0,1.7,E. coli W3110,Osmotic stress
41.0,4.206,1.262,0.33,0.205,6.7,72.0,40.4,701.0,1.59,E. coli W3110,Osmotic stress
41.5,4.209,1.263,0.325,0.213,6.65,66.1,41.1,682.0,1.72,E. coli W3110,Osmotic stress
42.0,4.169,1.251,0.323,0.207,6.61,75.3,41.5,722.0,1.65,E. coli W3110,Osmotic stress
42.5,4.215,1.265,0.332,0.193,6.66,70.5,41.4,714.0,1.64,E. coli W3110,Osmotic stress
43.0,4.212,1.264,0.333,0.194,6.56,74.8,41.3,739.0,1.62,E. coli W3110,Osmotic stress
43.5,4.18,1.254,0.327,0.204,6.63,67.9,41.1,681.0,1.61,E. coli W3110,Osmotic stress
44.0,4.195,1.259,0.323,0.213,6.61,75.5,41.9,692.0,1.63,E. coli W3110,Osmotic stress
44.5,4.199,1.26,0.331,0.188,6.61,72.3,41.0,705.0,1.66,E. coli W3110,Osmotic stress
45.0,4.197,1.259,0.338,0.206,6.66,71.7,42.0,713.0,1.8,E. coli W3110,Osmotic stress
45.5,4.207,1.262,0.342,0.206,6.64,70.7,41.2,696.0,1.67,E. coli W3110,Osmotic stress
46.0,4.229,1.269,0.333,0.223,6.61,69.0,41.4,684.0,1.71,E. coli W3110,Osmotic stress
46.5,4.222,1.266,0.334,0.208,6.52,73.4,41.1,719.0,1.72,E. coli W3110,Osmotic stress
47.0,4.174,1.252,0.325,0.212,6.55,70.6,41.6,713.0,1.7,E. coli W3110,Osmotic stress
47.5,4.212,1.264,0.337,0.212,6.59,64.0,42.0,682.0,1.7,E. coli W3110,Osmotic stress
