Time_h,OD_600nm,Biomass_gL,Glucose_gL,Acetate_gL,pH,DO_percent,Temperature_C,CER_mmol_Lh,OUR_mmol_Lh,RQ,Agitation_rpm,FeedRate_mLh,BaseAddition_mLh,Offgas_CO2_percent,Strain,Condition
23.0,29.8,10.4,9.91,0.053,6.99,83.0,37.3,0.275,0.722,0.381,470.0,3.14,0.004,0.79,E. coli BL21(DE3),Fed-batch
23.5,30.9,10.8,10.35,0.0,6.95,81.8,37.0,0.406,0.423,0.957,467.0,3.38,0.003,1.2,E. coli BL21(DE3),Fed-batch
24.0,33.3,11.7,10.8,0.006,6.88,79.1,37.1,0.395,0.638,0.619,480.0,3.4,0.031,1.1,E. coli BL21(DE3),Fed-batch
24.5,33.7,11.8,11.27,0.005,6.94,79.2,36.8,0.508,0.549,0.924,489.0,3.53,0.014,0.86,E. coli BL21(DE3),Fed-batch
25.0,35.4,12.4,11.77,0.039,6.97,75.3,37.1,0.633,0.613,1.031,511.0,3.66,0.036,0.91,E. coli BL21(DE3),Fed-batch
25.5,36.4,12.7,12.28,0.016,6.91,74.0,37.0,0.326,0.907,0.36,503.0,3.88,0.016,1.12,E. coli BL21(DE3),Fed-batch
26.0,37.9,13.3,12.82,0.047,6.96,74.4,37.2,0.547,0.519,1.052,498.0,3.99,0.005,1.17,E. coli BL21(DE3),Fed-batch
26.5,39.0,13.6,13.38,0.009,6.95,73.2,37.2,0.534,0.713,0.748,507.0,4.13,0.012,1.2,E. coli BL21(DE3),Fed-batch
27.0,39.6,13.8,13.97,0.029,6.97,72.2,37.5,0.626,0.745,0.839,517.0,4.4,0.036,1.14,E. coli BL21(DE3),Fed-batch
27.5,42.0,14.7,14.57,0.008,6.95,72.5,37.1,0.614,0.849,0.722,495.0,4.58,0.023,1.22,E. coli BL21(DE3),Fed-batch
28.0,42.5,14.9,15.22,0.068,6.92,72.6,37.1,0.525,0.76,0.69,487.0,4.67,0.02,1.28,E. coli BL21(DE3),Fed-batch
28.5,43.2,15.1,15.89,0.002,6.99,70.3,37.0,0.579,0.794,0.728,513.0,4.8,0.027,1.28,E. coli BL21(DE3),Fed-batch
29.0,45.1,15.8,16.59,0.033,6.94,71.5,36.9,0.557,0.756,0.735,502.0,5.14,0.032,1.1,E. coli BL21(DE3),Fed-batch
29.5,47.3,16.6,17.32,0.041,6.94,64.3,37.1,0.775,0.862,0.899,538.0,5.26,0.039,1.37,E. coli BL21(DE3),Fed-batch
30.0,48.2,16.9,18.09,0.037,6.92,65.4,36.9,0.683,0.817,0.835,537.0,5.55,0.043,1.33,E. coli BL21(DE3),Fed-batch
30.5,48.9,17.1,18.89,0.025,6.93,63.7,37.0,0.881,0.925,0.951,541.0,5.64,0.025,1.46,E. coli BL21(DE3),Fed-batch
31.0,50.1,17.6,19.73,0.027,6.91,60.3,37.3,0.702,0.848,0.827,573.0,6.02,0.016,1.77,E. coli BL21(DE3),Fed-batch
31.5,51.4,18.0,20.62,0.031,6.93,62.7,36.8,0.655,0.945,0.692,552.0,6.15,0.026,1.55,E. coli BL21(DE3),Fed-batch
32.0,53.8,18.8,21.53,0.029,6.99,60.3,37.2,0.608,0.947,0.642,562.0,6.5,0.034,1.55,E. coli BL21(DE3),Fed-batch
32.5,54.2,19.0,22.5,0.051,6.9,63.3,37.3,0.584,1.068,0.546,553.0,6.73,0.022,1.69,E. coli BL21(DE3),Fed-batch
33.0,55.4,19.4,23.52,0.077,6.89,60.3,37.0,0.623,0.972,0.641,547.0,6.96,0.023,1.68,E. coli BL21(DE3),Fed-batch
33.5,56.8,19.9,24.58,0.022,6.98,55.5,36.6,0.829,0.826,1.003,588.0,7.27,0.037,1.71,E. coli BL21(DE3),Fed-batch
34.0,57.6,20.2,25.69,0.006,6.93,60.5,36.9,0.864,1.142,0.755,557.0,7.62,0.033,1.75,E. coli BL21(DE3),Fed-batch
34.5,58.4,20.5,26.86,0.033,6.91,58.3,37.3,0.667,0.941,0.708,573.0,7.91,0.035,1.92,E. coli BL21(DE3),Fed-batch
35.0,59.6,20.8,28.09,0.087,6.96,55.9,37.0,0.93,0.986,0.943,566.0,8.25,0.027,1.64,E. coli BL21(DE3),Fed-batch
35.5,60.7,21.2,29.38,0.02,6.91,53.0,36.8,0.809,1.012,0.799,572.0,8.66,0.033,1.83,E. coli BL21(DE3),Fed-batch
36.0,61.8,21.6,30.72,0.069,6.98,50.4,36.9,0.887,1.227,0.722,607.0,8.83,0.027,1.72,E. coli BL21(DE3),Fed-batch
36.5,63.1,22.1,32.14,0.071,6.95,50.0,37.2,1.053,0.901,1.167,604.0,9.35,0.046,1.91,E. coli BL21(DE3),Fed-batch
37.0,63.8,22.3,33.62,0.026,6.91,52.1,37.1,0.99,1.44,0.687,582.0,9.65,0.048,1.78,E. coli BL21(DE3),Fed-batch
37.5,65.1,22.8,35.17,0.05,6.99,52.2,37.0,0.892,1.254,0.711,583.0,10.0,0.02,1.87,E. coli BL21(DE3),Fed-batch
38.0,65.6,23.0,36.8,0.071,6.9,50.8,36.9,0.837,1.18,0.709,608.0,10.39,0.029,1.9,E. coli BL21(DE3),Fed-batch
38.5,66.6,23.3,38.51,0.032,6.94,45.6,36.9,0.725,1.17,0.619,606.0,10.87,0.024,2.06,E. coli BL21(DE3),Fed-batch
39.0,66.4,23.2,40.31,0.035,6.93,44.5,36.8,0.866,1.201,0.72,638.0,11.37,0.033,2.05,E. coli BL21(DE3),Fed-batch
39.5,68.7,24.0,42.19,0.029,6.96,44.1,37.3,0.949,1.265,0.75,615.0,11.78,0.04,1.9,E. coli BL21(DE3),Fed-batch
40.0,69.2,24.2,44.16,0.02,6.97,39.5,36.9,0.879,1.286,0.683,648.0,12.34,0.026,2.04,E. coli BL21(DE3),Fed-batch
40.5,70.3,24.6,46.22,0.028,6.92,42.2,37.2,0.98,1.297,0.755,628.0,12.69,0.032,2.0,E. coli BL21(DE3),Fed-batch
41.0,69.1,24.2,48.39,0.016,6.9,42.9,37.3,0.984,1.229,0.8,634.0,13.29,0.031,1.91,E. coli BL21(DE3),Fed-batch
41.5,72.3,25.3,50.65,0.043,6.93,37.7,37.2,0.999,1.257,0.794,644.0,13.77,0.045,2.11,E. coli BL21(DE3),Fed-batch
42.0,71.9,25.2,53.03,0.027,6.9,36.0,36.9,0.95,1.254,0.757,654.0,14.41,0.043,2.08,E. coli BL21(DE3),Fed-batch
42.5,73.2,25.6,55.51,0.048,6.97,38.3,37.1,1.05,1.272,0.825,647.0,15.03,0.036,2.4,E. coli BL21(DE3),Fed-batch
43.0,72.8,25.5,58.12,0.012,6.92,36.9,37.0,1.071,1.397,0.766,642.0,15.57,0.045,2.18,E. coli BL21(DE3),Fed-batch
43.5,74.2,26.0,60.85,0.05,6.9,33.3,36.8,0.938,1.369,0.685,674.0,16.1,0.038,2.04,E. coli BL21(DE3),Fed-batch
44.0,73.9,25.9,63.71,0.06,6.92,30.3,37.1,1.185,1.011,1.171,674.0,16.9,0.041,2.12,E. coli BL21(DE3),Fed-batch
44.5,74.7,26.1,66.7,0.004,6.87,34.7,36.8,1.045,1.384,0.754,659.0,17.6,0.061,2.3,E. coli BL21(DE3),Fed-batch
45.0,76.5,26.8,69.83,0.052,6.88,35.1,37.2,1.082,1.37,0.789,649.0,18.32,0.058,2.46,E. coli BL21(DE3),Fed-batch
45.5,76.0,26.6,73.1,0.069,6.95,35.9,36.9,1.143,1.339,0.853,631.0,19.11,0.032,2.08,E. coli BL21(DE3),Fed-batch
46.0,76.6,26.8,76.53,0.021,6.89,30.4,37.0,1.105,1.314,0.841,676.0,19.77,0.053,2.07,E. coli BL21(DE3),Fed-batch
46.5,77.4,27.1,80.12,0.079,6.88,28.6,37.1,1.188,1.479,0.803,710.0,20.67,0.054,2.46,E. coli BL21(DE3),Fed-batch
47.0,77.7,27.2,83.87,0.054,6.92,30.3,36.9,1.125,1.466,0.767,687.0,21.53,0.034,2.32,E. coli BL21(DE3),Fed-batch
47.5,77.9,27.3,87.79,0.032,6.94,26.9,37.1,1.039,1.298,0.8,692.0,22.26,0.054,2.2,E. coli BL21(DE3),Fed-batch
48.0,78.4,27.4,91.9,0.045,6.93,28.4,36.9,1.143,1.425,0.802,684.0,23.28,0.062,2.36,E. coli BL21(DE3),Fed-batch
48.5,79.8,27.9,96.18,0.058,6.94,26.2,37.2,1.012,1.311,0.771,695.0,24.19,0.036,2.08,E. coli BL21(DE3),Fed-batch
49.0,78.9,27.6,100.67,0.048,6.88,29.2,36.7,1.125,1.255,0.896,689.0,25.2,0.037,2.32,E. coli BL21(DE3),Fed-batch
49.5,79.4,27.8,105.36,0.057,6.86,25.5,37.0,1.118,1.339,0.834,686.0,26.25,0.057,2.37,E. coli BL21(DE3),Fed-batch
50.0,80.1,28.1,110.26,0.029,6.95,23.5,37.4,1.111,1.501,0.74,717.0,27.27,0.05,2.45,E. coli BL21(DE3),Fed-batch
50.5,80.5,28.2,115.38,0.051,6.9,21.3,36.8,1.123,1.515,0.741,722.0,28.38,0.053,2.27,E. coli BL21(DE3),Fed-batch
51.0,80.8,28.3,120.72,0.019,6.9,20.6,36.9,0.953,1.477,0.644,725.0,29.57,0.051,2.39,E. coli BL21(DE3),Fed-batch
51.5,80.8,28.3,126.31,0.045,6.94,21.8,37.1,1.086,1.498,0.724,717.0,30.73,0.051,2.28,E. coli BL21(DE3),Fed-batch
52.0,80.2,28.1,132.16,0.029,6.92,24.6,37.0,1.141,1.466,0.778,702.0,31.98,0.034,2.38,E. coli BL21(DE3),Fed-batch
52.5,81.8,28.6,138.26,0.033,6.92,21.2,37.1,1.171,1.379,0.848,722.0,33.38,0.059,2.32,E. coli BL21(DE3),Fed-batch
53.0,80.6,28.2,144.63,0.072,6.97,21.1,37.1,1.036,1.466,0.706,722.0,34.65,0.059,2.33,E. coli BL21(DE3),Fed-batch
53.5,81.6,28.6,151.29,0.07,6.88,23.0,37.1,1.278,1.52,0.841,704.0,36.15,0.046,2.3,E. coli BL21(DE3),Fed-batch
54.0,81.3,28.4,158.24,0.06,6.93,20.4,37.2,1.061,1.509,0.702,712.0,37.62,0.047,2.45,E. coli BL21(DE3),Fed-batch
54.5,81.8,28.6,165.49,0.026,6.91,19.4,37.1,1.252,1.562,0.801,724.0,39.04,0.033,2.49,E. coli BL21(DE3),Fed-batch
55.0,82.2,28.8,173.06,0.042,6.91,16.7,37.0,1.203,1.521,0.79,749.0,40.69,0.053,2.39,E. coli BL21(DE3),Fed-batch
55.5,82.3,28.8,180.96,0.073,6.95,12.8,37.1,1.098,1.488,0.737,736.0,42.45,0.054,2.43,E. coli BL21(DE3),Fed-batch
56.0,82.6,28.9,189.21,0.051,6.92,18.7,37.4,1.343,1.564,0.858,710.0,44.07,0.048,2.28,E. coli BL21(DE3),Fed-batch
56.5,83.3,29.2,197.81,0.095,6.92,15.6,37.0,1.057,1.467,0.72,739.0,45.89,0.06,2.42,E. coli BL21(DE3),Fed-batch
57.0,82.9,29.0,206.78,0.057,6.93,15.3,36.8,1.262,1.374,0.918,739.0,47.81,0.045,2.43,E. coli BL21(DE3),Fed-batch
57.5,82.7,28.9,216.15,0.052,6.89,16.7,37.2,1.267,1.442,0.878,735.0,49.78,0.054,2.69,E. coli BL21(DE3),Fed-batch
58.0,83.4,29.2,225.92,0.043,6.88,14.8,37.0,1.11,1.397,0.794,743.0,51.76,0.039,2.34,E. coli BL21(DE3),Fed-batch
58.5,83.6,29.3,236.12,0.052,6.87,9.6,36.6,1.32,1.408,0.937,759.0,53.86,0.049,2.61,E. coli BL21(DE3),Fed-batch
59.0,82.5,28.9,246.76,0.046,6.84,16.0,37.2,1.14,1.442,0.79,751.0,56.16,0.047,2.53,E. coli BL21(DE3),Fed-batch
59.5,83.6,29.2,257.85,0.063,6.96,14.6,36.9,1.209,1.395,0.866,726.0,58.46,0.051,2.49,E. coli BL21(DE3),Fed-batch
60.0,83.7,29.3,269.41,0.068,6.87,9.8,37.0,1.208,1.446,0.834,753.0,60.8,0.046,2.64,E. coli BL21(DE3),Fed-batch
60.5,83.3,29.2,281.47,0.033,6.9,14.7,37.1,1.163,1.281,0.907,740.0,63.24,0.048,2.49,E. coli BL21(DE3),Fed-batch
61.0,84.2,29.5,294.05,0.023,6.89,7.3,37.0,1.27,1.508,0.842,754.0,65.77,0.058,2.52,E. coli BL21(DE3),Fed-batch
61.5,83.6,29.2,307.16,0.012,6.91,14.0,37.1,1.259,1.475,0.853,742.0,68.46,0.045,2.45,E. coli BL21(DE3),Fed-batch
62.0,83.8,29.3,320.84,0.059,6.93,11.9,36.9,1.008,1.397,0.721,769.0,71.32,0.033,2.59,E. coli BL21(DE3),Fed-batch
62.5,83.7,29.3,335.09,0.027,6.93,9.1,37.1,1.312,1.543,0.85,764.0,74.23,0.067,2.57,E. coli BL21(DE3),Fed-batch
63.0,83.9,29.4,349.95,0.006,6.88,13.9,36.9,1.018,1.574,0.646,747.0,77.31,0.063,2.4,E. coli BL21(DE3),Fed-batch
63.5,83.4,29.2,365.44,0.057,6.9,12.3,37.1,1.28,1.311,0.976,738.0,80.42,0.036,2.32,E. coli BL21(DE3),Fed-batch
64.0,83.3,29.1,381.6,0.099,6.91,12.6,37.1,1.288,1.393,0.924,743.0,83.59,0.056,2.43,E. coli BL21(DE3),Fed-batch
64.5,84.8,29.7,398.42,0.05,6.89,10.4,36.8,1.089,1.42,0.766,755.0,87.13,0.045,2.42,E. coli BL21(DE3),Fed-batch
65.0,83.7,29.3,415.96,0.066,6.95,14.7,37.2,1.14,1.383,0.824,738.0,90.59,0.052,2.45,E. coli BL21(DE3),Fed-batch
65.5,83.7,29.3,434.24,0.051,6.92,10.5,36.9,1.071,1.559,0.686,771.0,94.32,0.052,2.58,E. coli BL21(DE3),Fed-batch
66.0,83.1,29.1,453.3,0.047,6.92,14.9,37.2,1.152,1.448,0.795,746.0,98.2,0.047,2.4,E. coli BL21(DE3),Fed-batch
66.5,83.9,29.4,473.15,0.068,6.92,12.0,37.1,1.154,1.455,0.793,741.0,102.29,0.042,2.46,E. coli BL21(DE3),Fed-batch
67.0,83.6,29.3,493.83,0.043,6.94,14.0,37.4,1.259,1.276,0.986,746.0,106.52,0.042,2.47,E. coli BL21(DE3),Fed-batch
67.5,85.2,29.8,515.38,0.055,6.91,,37.0,1.333,1.566,0.851,,110.73,0.041,2.59,E. coli BL21(DE3),Fed-batch
68.0,84.9,29.7,537.83,0.056,6.86,9.3,36.9,1.338,1.374,0.973,774.0,115.21,0.042,2.27,E. coli BL21(DE3),Fed-batch
68.5,84.1,29.4,561.22,0.036,6.91,8.8,37.0,1.131,1.49,0.759,781.0,119.95,0.049,2.41,E. coli BL21(DE3),Fed-batch
69.0,85.6,30.0,585.59,0.07,6.88,,36.9,1.187,1.538,0.771,,124.86,0.043,2.54,E. coli BL21(DE3),Fed-batch
69.5,85.0,29.7,610.98,0.046,6.88,7.9,37.2,1.031,1.636,0.63,760.0,129.9,0.057,2.62,E. coli BL21(DE3),Fed-batch
70.0,84.4,29.5,637.43,0.035,6.92,4.2,36.7,1.11,1.358,0.817,771.0,135.3,0.064,2.43,E. coli BL21(DE3),Fed-batch
70.5,83.3,29.2,664.99,0.06,6.94,15.0,36.8,1.272,1.168,1.088,738.0,140.74,0.043,2.26,E. coli BL21(DE3),Fed-batch
71.0,85.7,30.0,693.69,0.032,6.9,,36.8,1.372,1.531,0.895,,146.5,0.053,2.58,E. coli BL21(DE3),Fed-batch
71.5,83.9,29.4,723.59,0.05,6.91,6.6,37.2,1.061,1.661,0.639,783.0,152.49,0.054,2.4,E. coli BL21(DE3),Fed-batch
