Time_h,OD_600nm,Glucose_gL,Lactose_gL,Beta_Galactosidase_U,DO_percent,CO2_percent,pH,Strain,Condition
33.0,-0.033,0.0,4.66,0.019,99.5,-0.042,7.0,E. coli MG1655,Diauxic growth
33.5,0.006,0.0,4.69,-0.017,97.9,0.0,6.99,E. coli MG1655,Diauxic growth
34.0,0.015,0.0,4.71,-0.012,97.6,-0.01,6.95,E. coli MG1655,Diauxic growth
34.5,0.0,0.0,4.73,-0.003,100.0,-0.019,6.99,E. coli MG1655,Diauxic growth
35.0,-0.083,0.0,4.75,-0.019,99.3,-0.043,7.0,E. coli MG1655,Diauxic growth
35.5,0.006,0.0,4.77,-0.009,100.0,0.017,7.0,E. coli MG1655,Diauxic growth
36.0,0.089,0.0,4.79,0.054,97.8,0.09,7.0,E. coli MG1655,Diauxic growth
36.5,-0.014,0.0,4.8,0.004,100.0,0.006,6.99,E. coli MG1655,Diauxic growth
37.0,-0.029,0.0,4.82,-0.008,100.0,0.047,6.98,E. coli MG1655,Diauxic growth
37.5,0.015,0.0,4.83,-0.024,100.0,-0.068,7.0,E. coli MG1655,Diauxic growth
38.0,0.012,0.0,4.84,-0.023,99.1,0.009,6.98,E. coli MG1655,Diauxic growth
38.5,0.048,0.0,4.85,0.02,100.0,-0.051,7.0,E. coli MG1655,Diauxic growth
39.0,-0.05,0.0,4.86,-0.058,99.8,-0.078,7.0,E. coli MG1655,Diauxic growth
39.5,0.029,0.0,4.87,0.029,99.9,-0.035,6.99,E. coli MG1655,Diauxic growth
