Time_h,OD_600nm,Biomass_gL,Glucose_gL,Acetate_gL,pH,DO_percent,Temperature_C,CER_mmol_Lh,OUR_mmol_Lh,RQ,Agitation_rpm,Airflow_vvm,Pressure_bar,Strain,Condition
7.5,0.732,0.256,9.39,0.0,7.0,93.4,37.3,0.0,0.1,0.8,314.0,1.06,1.019,E. coli MG1655,Standard batch
7.75,0.87,0.304,9.3,0.0,7.02,96.1,37.3,0.005,0.097,0.8,321.0,0.99,1.004,E. coli MG1655,Standard batch
8.0,0.931,0.326,9.28,0.0,6.96,89.5,37.0,0.087,0.192,0.8,320.0,1.08,1.017,E. coli MG1655,Standard batch
8.25,1.021,0.358,9.17,0.0,7.02,88.6,37.1,0.02,0.0,1.2,329.0,1.07,1.009,E. coli MG1655,Standard batch
8.5,1.183,0.414,8.99,0.0,6.94,87.5,37.1,0.0,0.198,0.8,321.0,0.99,1.012,E. coli MG1655,Standard batch
8.75,1.281,0.448,8.99,0.0,6.97,83.5,37.5,0.045,0.216,0.8,333.0,1.16,1.013,E. coli MG1655,Standard batch
9.0,1.465,0.513,8.78,0.0,6.99,84.9,37.2,0.0,0.068,0.8,339.0,1.17,1.013,E. coli MG1655,Standard batch
9.25,1.596,0.559,8.74,0.013,6.98,83.2,37.0,0.015,0.166,0.8,331.0,1.05,1.016,E. coli MG1655,Standard batch
9.5,1.803,0.631,8.5,0.004,6.96,82.9,36.8,0.042,0.182,0.8,343.0,1.07,1.024,E. coli MG1655,Standard batch
9.75,2.052,0.718,8.42,0.058,6.96,80.9,36.7,0.0,0.149,0.8,342.0,1.11,1.014,E. coli MG1655,Standard batch
10.0,2.306,0.807,8.09,0.09,6.95,81.4,37.0,0.06,0.198,0.8,334.0,1.11,1.021,E. coli MG1655,Standard batch
10.25,2.568,0.899,7.89,0.094,6.94,76.9,36.8,0.02,0.197,0.8,349.0,1.15,1.014,E. coli MG1655,Standard batch
10.5,2.868,1.004,7.7,0.151,6.97,70.8,36.7,0.0,0.356,0.8,363.0,1.25,1.031,E. coli MG1655,Standard batch
10.75,3.206,1.122,7.32,0.19,6.95,66.7,36.9,0.035,0.329,0.8,370.0,1.16,1.012,E. coli MG1655,Standard batch
11.0,3.564,1.248,7.09,0.212,6.92,65.7,36.8,0.116,0.356,0.8,361.0,1.13,1.039,E. coli MG1655,Standard batch
11.25,4.008,1.403,6.78,0.301,6.95,57.4,37.3,0.012,0.335,0.8,382.0,1.14,1.023,E. coli MG1655,Standard batch
11.5,4.492,1.572,6.23,0.37,6.93,58.5,37.2,0.015,0.243,0.8,382.0,1.17,1.012,E. coli MG1655,Standard batch
11.75,5.058,1.77,5.84,0.459,6.93,50.9,37.0,0.0,0.263,0.8,398.0,1.24,1.031,E. coli MG1655,Standard batch
12.0,5.643,1.975,5.36,0.543,6.91,40.9,37.3,0.0,0.292,0.8,421.0,1.39,1.026,E. coli MG1655,Standard batch
12.25,6.272,2.195,4.86,0.588,6.87,30.8,37.0,0.044,0.171,0.8,439.0,1.32,1.045,E. coli MG1655,Standard batch
12.5,7.065,2.473,4.1,0.716,6.86,26.8,36.8,0.0,0.204,0.8,440.0,1.38,1.035,E. coli MG1655,Standard batch
12.75,7.892,2.762,3.41,0.873,6.88,11.9,37.3,0.006,0.068,0.8,478.0,1.44,1.042,E. coli MG1655,Standard batch
13.0,8.486,2.97,3.0,0.974,6.86,5.0,37.1,0.0,0.0,0.8,493.0,1.53,1.031,E. coli MG1655,Standard batch
13.25,8.512,2.979,2.97,0.999,6.85,,36.8,0.026,0.034,0.8,,,1.046,E. coli MG1655,Standard batch
13.5,8.521,2.982,2.96,1.088,6.85,,37.0,0.019,0.019,0.92,,,1.026,E. coli MG1655,Standard batch
13.75,8.519,2.982,2.97,1.043,6.88,,36.8,0.054,0.0,1.2,,,1.034,E. coli MG1655,Standard batch
14.0,8.483,2.969,2.95,1.07,6.84,5.0,36.7,0.0,0.06,0.8,492.0,1.53,1.058,E. coli MG1655,Standard batch
14.25,8.494,2.973,2.98,1.089,6.86,5.0,37.2,0.0,0.0,0.8,490.0,1.51,1.058,E. coli MG1655,Standard batch
14.5,8.507,2.977,2.98,1.106,6.85,,37.4,0.0,0.03,0.8,,,1.054,E. coli MG1655,Standard batch
14.75,8.52,2.982,2.91,1.11,6.85,,36.7,0.0,0.027,0.8,,,1.04,E. coli MG1655,Standard batch
15.0,8.49,2.972,3.07,1.148,6.87,5.0,37.1,0.02,0.0,1.2,491.0,1.46,1.049,E. coli MG1655,Standard batch
15.25,8.496,2.974,2.99,1.139,6.87,5.0,36.9,0.039,0.017,1.2,491.0,1.5,1.05,E. coli MG1655,Standard batch
15.5,8.478,2.967,2.93,1.168,6.87,5.0,36.9,0.0,0.0,0.8,484.0,1.53,1.038,E. coli MG1655,Standard batch
15.75,8.476,2.967,3.02,1.183,6.88,5.0,36.9,0.044,0.05,0.873,485.0,1.52,1.065,E. coli MG1655,Standard batch
16.0,8.516,2.981,2.9,1.222,6.85,,36.8,0.068,0.0,1.2,,,1.059,E. coli MG1655,Standard batch
16.25,8.527,2.984,2.98,1.29,6.86,,37.0,0.021,0.0,1.2,,,1.048,E. coli MG1655,Standard batch
16.5,8.499,2.974,3.03,1.222,6.84,5.0,36.8,0.094,0.053,1.2,493.0,1.53,1.05,E. coli MG1655,Standard batch
16.75,8.52,2.982,2.91,1.298,6.86,,37.1,0.0,0.0,0.8,,,1.052,E. coli MG1655,Standard batch
17.0,8.507,2.978,3.01,1.271,6.85,,37.0,0.0,0.0,0.8,,,1.03,E. coli MG1655,Standard batch
17.25,8.487,2.97,3.0,1.311,6.85,5.0,37.0,0.0,0.0,0.8,495.0,1.47,1.047,E. coli MG1655,Standard batch
17.5,8.507,2.978,3.0,1.367,6.86,,36.8,0.075,0.029,1.2,,,1.043,E. coli MG1655,Standard batch
17.75,8.531,2.986,3.04,1.372,6.83,,36.9,0.033,0.0,1.2,,,1.04,E. coli MG1655,Standard batch
18.0,8.499,2.975,2.95,1.364,6.89,5.0,37.2,0.0,0.088,0.8,488.0,1.43,1.047,E. coli MG1655,Standard batch
18.25,8.531,2.986,2.9,1.399,6.83,,37.1,0.014,0.0,1.2,,,1.068,E. coli MG1655,Standard batch
18.5,8.448,2.957,2.97,1.431,6.83,5.2,36.8,0.0,0.092,0.8,488.0,1.45,1.056,E. coli MG1655,Standard batch
18.75,8.516,2.981,2.91,1.438,6.87,,37.0,0.122,0.008,1.2,,,1.044,E. coli MG1655,Standard batch
19.0,8.502,2.976,2.96,1.475,6.87,,37.2,0.007,0.0,1.2,,,1.056,E. coli MG1655,Standard batch
19.25,8.494,2.973,2.99,1.491,6.86,5.0,36.7,0.006,0.0,1.2,496.0,1.48,1.064,E. coli MG1655,Standard batch
19.5,8.502,2.976,2.98,1.499,6.86,,37.1,0.036,0.02,1.2,,,1.059,E. coli MG1655,Standard batch
19.75,8.46,2.961,3.04,1.567,6.85,5.0,36.9,0.024,0.004,1.2,489.0,1.41,1.05,E. coli MG1655,Standard batch
20.0,8.496,2.973,2.97,1.566,6.83,5.0,37.1,0.011,0.056,0.8,488.0,1.51,1.044,E. coli MG1655,Standard batch
20.25,8.507,2.977,3.03,1.536,6.85,,36.8,0.0,0.005,0.8,,,1.057,E. coli MG1655,Standard batch
20.5,8.53,2.985,2.93,1.606,6.84,,36.6,0.024,0.003,1.2,,,1.054,E. coli MG1655,Standard batch
20.75,8.49,2.971,3.11,1.601,6.87,5.0,36.7,0.094,0.0,1.2,495.0,1.46,1.059,E. coli MG1655,Standard batch
21.0,8.484,2.969,3.01,1.651,6.85,5.0,37.0,0.067,0.0,1.2,483.0,1.49,1.056,E. coli MG1655,Standard batch
21.25,8.49,2.971,2.93,1.641,6.83,5.0,37.1,0.08,0.017,1.2,491.0,1.49,1.06,E. coli MG1655,Standard batch
21.5,8.518,2.981,2.9,1.682,6.84,,36.8,0.0,0.0,0.8,,,1.045,E. coli MG1655,Standard batch
21.75,8.507,2.977,2.99,1.713,6.86,,37.1,0.0,0.0,0.8,,,1.063,E. coli MG1655,Standard batch
22.0,8.489,2.971,2.96,1.737,6.84,5.0,36.7,0.0,0.039,0.8,495.0,1.49,1.052,E. coli MG1655,Standard batch
22.25,8.51,2.979,2.99,1.722,6.83,,37.0,0.003,0.007,0.8,,,1.071,E. coli MG1655,Standard batch
22.5,8.502,2.976,2.99,1.758,6.85,,36.8,0.055,0.0,1.2,,,1.043,E. coli MG1655,Standard batch
22.75,8.519,2.982,2.95,1.78,6.85,,36.9,0.0,0.0,0.8,,,1.067,E. coli MG1655,Standard batch
23.0,8.486,2.97,2.94,1.789,6.84,5.0,37.0,0.076,0.019,1.2,488.0,1.48,1.052,E. coli MG1655,Standard batch
23.25,8.493,2.973,2.9,1.861,6.84,5.0,36.8,0.0,0.0,0.8,488.0,1.53,1.043,E. coli MG1655,Standard batch
23.5,8.492,2.972,2.95,1.854,6.85,5.0,36.9,0.0,0.0,0.8,497.0,1.42,1.045,E. coli MG1655,Standard batch
23.75,8.471,2.965,3.03,1.836,6.82,5.0,37.2,0.0,0.014,0.8,498.0,1.48,1.047,E. coli MG1655,Standard batch
